page_id,route,state_id,state_name,trigger,user_visible_behavior,required_test
P002,/,HOME_FRESH,数据新鲜,重点来源在SLO内,"显示更新时间与精选时间线",home_fresh_e2e
P002,/,HOME_DELAYED,来源延迟,重点来源超过阈值,"显示数据可能不完整与受影响来源",home_delayed_e2e
P003,/selected,SELECTED_EMPTY,暂无精选,门禁后无内容,"说明精选标准并可跳到全部动态",selected_empty_a11y
P003,/selected,SELECTED_READY,精选列表,有发布修订,"按activity_at时间线展示",selected_cursor_e2e
P004,/all,ALL_MACHINE,机器整理,自动收录可见,"明确机器整理/未人工复核",all_machine_projection_contract
P004,/all,ALL_R3_RESTRICTED,R3受限,安全高风险未审,"只显示服务端白名单字段",r3_no_sensitive_fields_contract
P004,/all,ALL_R4_HIDDEN,R4隔离,隔离内容,"普通用户响应中不存在",r4_acl_contract
P005,/digital,DIGITAL_VENDOR,厂商声明,企业产品内容,"使用中性厂商声明且不显示已核验",vendor_claim_visual
P005,/digital,DIGITAL_RESEARCH,研究证据,期刊论文,"显示论文阶段与不可直接外推限制",paper_card_e2e
P006,/safety,SAFETY_UNKNOWN,效力未知,法规状态未确认,"不作为制度执行依据并要求复核",regulation_unknown_contract
P006,/safety,SAFETY_LIFECYCLE,事故生命周期,初报续报调查整改,"事件时间线保留各阶段",safety_event_e2e
P007,/items/:id,ITEM_EVIDENCE,证据联动,点击事实,"高亮对应片段页码版本",claim_evidence_e2e
P007,/items/:id,ITEM_SOURCE_GONE,原文失效,核验返回404/撤回,"保留存档版本与最后核验时间",source_gone_e2e
P007,/items/:id,ITEM_CONFLICT,来源冲突,关键事实不一致,"并列展示冲突且不自动裁决",claim_conflict_e2e
P007,/items/:id,ITEM_WITHDRAWN,已撤回,发布撤回,"失效摘要不可继续作为当前结论",withdrawn_projection_contract
P009,/search,SEARCH_ZERO,无结果,查询无命中,"给出清除筛选与编号提示不生成答案",search_zero_a11y
P009,/search,SEARCH_EXACT,精确编号,文号标准号DOI命中,"精确结果排在模糊结果前",search_exact_contract
P010,/daily,DAILY_DRAFT,日报草稿,系统生成未审,"仅审核员可见且明确草稿",daily_draft_acl
P010,/daily,DAILY_PUBLISHED,已发布日报,审核确认,"固定快照可追溯到发布修订",daily_snapshot_contract
P011,/saved,SAVED_EMPTY,无收藏,首次使用,"解释收藏用途并返回精选",saved_empty_a11y
P013,/admin/review,REVIEW_BLOCKED,门禁阻断,证据或职责条件不满足,"显示阻断原因且禁止发布",review_gate_e2e

