component_id,component_name,layer,owner_path,first_round,reuse_rule,required_states,accessibility_contract,test_focus
C001,AppShell,primitive,packages/ui,00A,"所有用户端与管理端复用","default|sidebar-compact|mobile-drawer","提供跳过链接与main地标","布局断点与无横向溢出"
C002,AppSidebar,primitive,packages/ui,00A,"禁止页面自建第二套导航","default|active|compact|mobile-open","nav语义；当前项aria-current","键盘导航与权限隐藏"
C003,PageHeader,primitive,packages/ui,00A,"标题更新时间操作区统一","default|delayed|partial","标题层级唯一；更新时间可读","响应式换行"
C004,StatusBadge,primitive,packages/ui,00A,"颜色与文字图标共同表达","verified|pending|vendor|conflict|withdrawn","状态文本不可省略","对比度与强制色"
C005,ResponsiveDrawer,primitive,packages/ui,00A,"证据筛选移动导航共用","closed|open","焦点陷阱；Esc关闭；归还焦点","键盘与滚动锁"
C006,TimelineFeed,business,apps/web,02,"selected/all/digital/safety共用","loading|ready|empty|error|delayed","aria-live只播报结果数量变化","Cursor与跨日分组"
C007,IntelligenceCard,business,apps/web,02,"所有内容类型复用一个卡片","default|hover|focus|saved|restricted|updated|withdrawn|conflict","article语义；操作有名称","服务端受限投影与类型联合"
C008,EvidenceDrawer,business,apps/web,02,"列表与详情复用证据摘要","closed|loading|ready|missing|stale","dialog语义；事实证据关联","定位跳转与原文失效"
C009,FilterPanel,business,apps/web,02,"各频道以配置扩展","closed|open|applied|invalid","字段label；清除筛选可达","URL状态与组合筛选"
C010,FactList,business,apps/web,02,"详情与审核台复用","ready|conflict|missing-evidence","claim到evidence双向关联","无证据不得显示已核验"
C011,PdfEvidenceViewer,business,apps/web,03,"详情与审核台共用底层viewer","loading|ready|ocr|missing|error","页码与文本替代","页码坐标与缩放"
C012,VersionTimeline,business,apps/web,03,"文档和发布修订统一样式","current|updated|withdrawn","时间与变化文字可读","摘要失效与撤回"
C013,EventTimeline,business,apps/web,04,"安全案例和未来项目生命周期复用","initial|follow-up|final|corrective","顺序不用颜色表达","阶段关系不被去重"
C014,TypeSummary,business,apps/web,05,"判别联合类型而非复制卡片","digital-case|paper|software|iot|low-altitude|ai-equipment|regulation|safety-case","字段名称语义化","未知字段与厂商声明"
C015,ScoreBreakdown,business,apps/web,08,"第08轮前不得伪造","hidden|ready|rule-updated","分项和规则版本可读","转载不增独立信源"
C016,ReviewWorkbench,business,apps/web,09,"唯一审核工作台","loading|ready|conflict|blocked|submitted","三栏键盘顺序与固定决策栏","职责分离与高风险理由"
C017,GlobalSearch,business,apps/web,10,"页头与搜索页共享query contract","idle|loading|results|zero|error","可访问名称与清除按钮","精确编号优先"
C018,DailyReport,business,apps/web,10,"固定快照渲染","draft|published|source-warning","章节标题与原文入口","快照不随排序变化"

